Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.192.168-104.26.12.245-51060-443-6,192.168.192.168,51060,104.26.12.245,443,6,08/12/2025 12:32:10 PM,143,3,0,271.0,0.0,96.0,80.0,90.33333333333333,8.962886439832502,0,0,0,0,1895104.895104895,20979.020979020977,71.5,7.7781745930520225,77.0,66.0,143.0,71.5,7.7781745930520225,77.0,66.0,0,0,0,0,0,1,0,0,0,96,0,20979.020979020977,0.0,80.0,96.0,87.75,8.958236433584458,80.25,0,0,0,3,3,0,0,0,0.0,117.0,90.33333333333333,0.0,0,0,0,0,0,0,0,0,0,0,547,0,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-51060-443-6,192.168.192.168,51060,104.26.12.245,443,6,08/12/2025 12:32:10 PM,287,2,1,31.0,569.0,31.0,0.0,15.5,21.920310216782973,569.0,569.0,569.0,0.0,2090592.3344947735,10452.961672473868,143.5,202.93964620053913,287.0,0.0,287.0,287.0,0.0,287.0,287.0,0,0,0,0,0,0,0,0,0,64,32,6968.641114982579,3484.3205574912895,0.0,569.0,150.0,279.7153314830395,78240.66666666667,0,0,0,2,3,0,0,0,0.0,200.0,15.5,569.0,0,0,0,0,0,0,0,0,0,0,16,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-51060-443-6,192.168.192.168,51060,104.26.12.245,443,6,08/12/2025 12:32:10 PM,281,3,2,505.0,224.0,481.0,0.0,168.33333333333331,271.0430470116017,193.0,31.0,112.0,114.5512985522207,2594306.049822064,17793.59430604982,70.25,91.74738870035121,193.0,0.0,281.0,140.5,74.24621202458749,193.0,88.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,96,64,10676.156583629892,7117.437722419929,0.0,481.0,201.66666666666666,226.93229533644316,51498.26666666666,0,0,0,4,5,0,0,0,0.0,242.0,168.33333333333334,112.0,0,0,0,729,4,2594306,0,0,0,0,16,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.13.245-42918-443-6,192.168.192.168,42918,104.26.13.245,443,6,08/12/2025 12:32:11 PM,136,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14705.882352941177,136.0,0.0,136.0,136.0,136.0,136.0,0.0,136.0,136.0,0,0,0,0,0,0,0,0,0,72,0,14705.882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.13.245-42918-443-6,192.168.192.168,42918,104.26.13.245,443,6,08/12/2025 12:32:11 PM,45,2,0,2840.0,0.0,2840.0,0.0,1420.0,2008.183258569795,0,0,0,0,6.3111111111111104E7,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,2840.0,1893.3333333333335,1639.6747644985371,2688533.333333333,0,0,0,1,2,0,0,0,0.0,2840.0,1420.0,0.0,0,0,0,0,0,0,0,0,0,0,16,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.13.245-42918-443-6,192.168.192.168,42918,104.26.13.245,443,6,08/12/2025 12:32:11 PM,357,3,0,271.0,0.0,96.0,80.0,90.33333333333333,8.962886439832502,0,0,0,0,759103.6414565826,8403.361344537814,178.5,129.4005409571382,270.0,87.0,357.0,178.5,129.4005409571382,270.0,87.0,0,0,0,0,0,1,0,0,0,96,0,8403.361344537814,0.0,80.0,96.0,87.75,8.958236433584458,80.25,0,0,0,3,3,0,0,0,0.0,117.0,90.33333333333333,0.0,0,0,0,0,0,0,0,0,0,0,547,0,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.13.245-42918-443-6,192.168.192.168,42918,104.26.13.245,443,6,08/12/2025 12:32:11 PM,1,1,1,0.0,569.0,0.0,0.0,0.0,0.0,569.0,569.0,569.0,0.0,5.69E8,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1000000.0,1000000.0,0.0,569.0,189.66666666666666,328.51230316889706,107920.33333333333,0,0,0,1,2,0,0,0,1.0,284.5,0.0,569.0,0,0,0,0,0,0,0,0,0,0,16,16,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.13.245-42918-443-6,192.168.192.168,42918,104.26.13.245,443,6,08/12/2025 12:32:11 PM,1,1,2,480.0,224.0,480.0,480.0,480.0,0.0,193.0,31.0,112.0,114.5512985522207,7.04E8,3000000.0,0.5,0.7071067811865476,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,32,64,1000000.0,2000000.0,31.0,480.0,296.0,222.52041104881442,49515.333333333336,0,0,0,3,3,0,0,0,2.0,394.6666666666667,480.0,112.0,0,0,0,0,0,0,0,0,0,0,16,16,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.13.245-42918-443-6,192.168.192.168,42918,104.26.13.245,443,6,08/12/2025 12:32:11 PM,344,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,69767.44186046511,5813.953488372093,344.0,0.0,344.0,344.0,344.0,344.0,0.0,344.0,344.0,0,0,0,0,0,0,0,0,0,64,0,5813.953488372093,0.0,0.0,24.0,8.0,13.856406460551018,192.0,0,0,0,1,2,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,615,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.13.245-42918-443-6,192.168.192.168,42918,104.26.13.245,443,6,08/12/2025 12:32:11 PM,231,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8658.008658008657,231.0,0.0,231.0,231.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4329.004329004329,4329.004329004329,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16,16,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
